Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    141.67     0.00        1     0.00     0.01  Abc_NtkAigToBdd
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkBddToSop
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkCheckRead
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkCompareAndSaveBest
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkDeleteObj
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkFraigStoreClean
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkFxCheck
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkFxInsert
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkFxRetrieve
  0.00    141.67     0.00        1     0.00   137.78  Abc_NtkFxchPerform
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkGetChoiceNum
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkGetCiArrivalFloats
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkGetCoRequiredFloats
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkGetFaninMax
  0.00    141.67     0.00        1     0.00     0.03  Abc_NtkIf
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkLevel
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkLogicMakeSimpleCos
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkOrderFaninsByLitCount
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkOrderFaninsByLitCountAndCubeCount
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkRecIsRunning3
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkRenode
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkSortSops
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkStartFrom
  0.00    141.67     0.00        1     0.00     0.01  Abc_NtkToBdd
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkToIf
  0.00    141.67     0.00        1     0.00     0.00  Abc_NtkToSop
  0.00    141.67     0.00        1     0.00     0.00  Abc_ObjRecycle
